address,borough_name,borough_abbrev,bin_number,block,lot,inspection_date,access_1,ecb_violation_number,dob_violation_number
1 NAGLE AVENUE,Manhattan,MN,1064121,2171,1,7/18/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
10 AKRON STREET,Staten Island,SI,5104032,1546,5,4/12/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
10 WEST MT EDEN AVENUE,Bronx,BX,2008329,2859,44,2/7/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
10-28 BEACH 20 STREET,Queens,QN,4298257,15561,13,4/19/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
10-28 BEACH 20 STREET,Queens,QN,4298257,15561,13,6/16/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
10-37 BEACH 20 STREET,Queens,QN,4300149,15704,60,4/23/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
10-75 BEACH 21 STREET,Queens,QN,4300166,15705,125,6/16/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34955180J,061612CNEMR01
10-75 BEACH 21 STREET,Queens,QN,4300166,15705,125,5/9/14 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35095616K,050914CNRJM01
10-75 BEACH 21 STREET,Queens,QN,4300166,15705,125,4/19/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
100 A 7 AVENUE,Manhattan,MN,1013813,766,39,10/24/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
100 DYCKMAN STREET,Manhattan,MN,1064176,2174,66,6/18/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
100 JAMAICA AVENUE,Brooklyn,BK,3083112,3661,15,3/12/16 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35168792Y,031216CNEJM05
100 JAMAICA AVENUE,Brooklyn,BK,3083112,3661,15,2/3/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
100 MOTT STREET,Manhattan,MN,1002616,204,4,2/15/14 0:00,ADMINISTRATIVE CLOSURE NN,,
1000 SUTTER AVENUE,Brooklyn,BK,3089813,4051,16,7/18/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1003 2 AVENUE,Manhattan,MN,1038559,1327,21,11/8/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1003 2 AVENUE,Manhattan,MN,1038559,1327,21,10/24/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1004 4 AVENUE,Brooklyn,BK,3010430,704,43,3/22/15 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35117717Y,032215PANELC02
1004 4 AVENUE,Brooklyn,BK,3010430,704,43,4/24/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1004 4 AVENUE,Brooklyn,BK,3010430,704,43,10/19/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1004 4 AVENUE,Brooklyn,BK,3010430,704,43,9/26/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1006 FLUSHING AVENUE,Brooklyn,BK,3338441,3149,3,9/21/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35025599Y,
101 SHERMAN AVENUE,Manhattan,MN,1064745,2220,5,8/12/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
101-01 37 AVENUE,Queens,QN,4043297,1742,33,10/5/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35065306H,
101-02 NORTHERN BOULEVARD,Queens,QN,4042541,1716,1,7/6/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
101-19 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303810,16174,23,5/9/14 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35091324K,062412PAERR01
101-19 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303810,16174,23,8/23/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35030238P,
101-19 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303810,16174,23,8/23/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35030239R,
1013 BEDFORD AVENUE,Brooklyn,BK,3322140,1788,9,6/27/15 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35137281K,"062815CNEMR01,DG01"
1013 BEDFORD AVENUE,Brooklyn,BK,3322140,1788,9,6/27/15 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136657P,"062815CNEMR01,DG01"
1019 SIMPSON STREET,Bronx,BX,2005770,2724,32,1/12/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1019 SIMPSON STREET,Bronx,BX,2005770,2724,32,7/8/16 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35169023Y,070816CNEAC01
102-02 43 AVENUE,Queens,QN,4048594,1978,1,7/21/17 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35263637J,072117CNEDG01
102-10 37 AVENUE,Queens,QN,4044219,1768,7,4/15/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974,2,12/13/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974,2,2/15/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35090750Z,021514PANEDG01
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974,2,4/23/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974,2,2/16/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,10/5/13 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35065308L,
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,1/23/15 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35117931P,012315PANER02
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,5/4/14 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35091028X,0504014PANEMC01
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,12/1/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006479X,120112CNEJM04
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,8/24/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095997N,082414CNETZ03/02
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,6/6/15 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35000490J,060615PANEDR01
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,12/1/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006480N,120112PANEJM05
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,8/24/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095998P,082414CNETZ03/02
102-53 43 AVENUE,Queens,QN,4431855,1977,29,10/6/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1020 AMSTERDAM AVENUE,Manhattan,MN,1056908,1882,28,11/15/13 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35064754R,
1020 EAST 48 STREET,Brooklyn,BK,3106488,4786,22,1/30/15 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35117984Z,
103 EMPIRE BOULEVARD,Brooklyn,BK,3034457,1306,37,5/31/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
103 EMPIRE BOULEVARD,Brooklyn,BK,3034457,1306,37,1/18/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
103 EMPIRE BOULEVARD,Brooklyn,BK,3034457,1306,37,2/1/14 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35081096Z,
103-08 39 AVENUE,Queens,QN,4044402,1770,113,11/30/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006477M,113012CNEJM02
103-11 39 AVENUE,Queens,QN,4437223,1769,55,12/1/12 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006478Y,120112PAERJM03
1031 GRAND STREET,Brooklyn,BK,3338342,2925,1,10/12/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1038 FLATBUSH AVENUE,Brooklyn,BK,3328218,5125,60,4/29/15 0:00,STOP WORK ORDER FULLY RESCINDED N,35122263P,042215BS14CR01
1038 FLATBUSH AVENUE,Brooklyn,BK,3328218,5125,60,4/22/15 0:00,STOP WORK ORDER FULLY RESCINDED N,35122263P,042215BS14CR01
104 AVENUE C,Manhattan,MN,1004469,376,7,5/23/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
104 DYCKMAN STREET,Manhattan,MN,1084401,2174,66,8/13/16 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196888R,081316CNETZ02
104 DYCKMAN STREET,Manhattan,MN,1084401,2174,66,8/13/16 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196889Z,081316CNETZ01
104 DYCKMAN STREET,Manhattan,MN,1084401,2174,66,8/13/16 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196889Z,081316CNETZ02
104 DYCKMAN STREET,Manhattan,MN,1084401,2174,66,8/13/16 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196888R,081316CNETZ01
104-07 LIBERTY AVENUE,Queens,QN,4201475,9508,47,7/8/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
104-09 123 STREET,Queens,QN,4204508,9577,65,9/12/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
104-09 123 STREET,Queens,QN,4204508,9577,65,3/8/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
104-14 JAMAICA AVENUE,Queens,QN,4194334,9289,106,3/20/16 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35168222M,032016PAERDM01
104-16 ROOSEVELT AVENUE,Queens,QN,4437332,1984,1,10/26/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35029712P,
104-16 ROOSEVELT AVENUE,Queens,QN,4437332,1984,1,10/26/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35029711N,
104-22 NORTHERN BOULEVARD,Queens,QN,4042657,1719,10,4/15/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1046 WOODYCREST AVENUE,Bronx,BX,2003140,2508,22,5/3/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
105-06 JAMAICA AVENUE,Queens,QN,4194289,9289,21,4/1/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
105-06 JAMAICA AVENUE,Queens,QN,4194289,9289,21,10/16/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
105-06 JAMAICA AVENUE,Queens,QN,4194289,9289,21,3/20/16 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35168911H,032016PAERMT05
105-13 JAMAICA AVENUE,Queens,QN,4192040,9201,39,2/13/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
105-13 JAMAICA AVENUE,Queens,QN,4192040,9201,39,7/3/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1053 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,9/29/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,9/21/14 0:00,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35103244X,092114CERDM01
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,9/15/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,1/30/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,5/5/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1061 HOME STREET,Bronx,BX,2010898,3006,13,6/2/12 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,34955580Z,
1061 HOME STREET,Bronx,BX,2010898,3006,13,8/10/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35022198J,
1061 HOME STREET,Bronx,BX,2010898,3006,13,8/10/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35025447P,
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,5/17/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,1/17/14 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35081526J,011714CNEDM02
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,6/30/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34952090M,
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,6/30/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34952089P,
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,1/4/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,11/23/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1065 PACIFIC STREET,Brooklyn,BK,3255799,1126,86,6/19/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
107 NORTH 6 STREET,Brooklyn,BK,3062062,2326,31,3/31/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
107 SUFFOLK STREET,Manhattan,MN,1004301,353,54,2/15/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
107 SUFFOLK STREET,Manhattan,MN,1004301,353,54,8/14/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,9/12/15 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136905P,091215CERAJ02
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,9/28/13 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35065030X,092813CNEDC01
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,9/12/15 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136904N,091215CERAJ01
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,9/12/15 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136905P,091215CERAJ01
